Timestamp,EAR,MAR,HeadTilt,Status
07:52:26,0.334,0.944,1.47,Yawning
07:52:26,0.334,1.01,0.73,Yawning
07:52:26,0.326,1.04,0.48,Yawning
07:52:26,0.332,0.93,0.48,Yawning
07:52:26,0.29,0.95,1.62,Yawning
07:52:26,0.246,0.868,0.0,Eyes Closed
07:52:26,0.221,0.881,3.04,Eyes Closed
07:52:26,0.259,0.981,1.56,Yawning
07:52:26,0.274,0.979,1.16,Yawning
07:52:26,0.32,0.881,1.42,Yawning
07:52:26,0.342,0.856,2.17,Yawning
07:52:26,0.317,0.952,2.69,Yawning
07:52:26,0.31,0.901,2.68,Yawning
07:52:26,0.344,0.872,2.91,Yawning
07:52:26,0.34,0.901,2.43,Yawning
07:52:26,0.336,0.898,3.39,Yawning
07:52:26,0.323,0.941,3.48,Yawning
07:52:26,0.352,0.981,2.46,Yawning
07:52:27,0.333,0.905,2.49,Yawning
07:52:27,0.329,0.883,3.25,Yawning
07:52:27,0.32,0.884,3.75,Yawning
07:52:27,0.319,0.89,3.25,Yawning
07:52:27,0.32,0.916,4.26,Yawning
07:52:27,0.309,0.857,3.01,Yawning
07:52:27,0.306,0.855,3.01,Yawning
07:52:27,0.319,0.902,3.75,Yawning
07:52:27,0.325,0.896,3.98,Yawning
07:52:27,0.326,0.912,4.19,Yawning
07:52:27,0.34,0.867,3.68,Yawning
07:52:27,0.327,0.938,2.94,Yawning
07:52:27,0.318,0.955,3.7,Yawning
07:52:27,0.316,0.91,3.45,Yawning
07:52:27,0.326,0.867,3.95,Yawning
07:52:27,0.358,0.899,3.19,Yawning
07:52:27,0.321,0.843,3.47,Yawning
07:52:27,0.325,0.835,3.72,Yawning
07:52:27,0.344,0.88,3.22,Yawning
07:52:27,0.333,0.935,2.96,Yawning
07:52:27,0.324,0.857,3.73,Yawning
07:52:27,0.321,0.924,4.25,Yawning
07:52:27,0.336,0.858,3.81,Yawning
07:52:27,0.344,0.879,4.34,Yawning
07:52:27,0.333,0.887,4.36,Yawning
07:52:27,0.338,0.978,3.87,Yawning
07:52:27,0.342,0.858,4.64,Yawning
07:52:27,0.316,0.843,4.44,Yawning
07:52:27,0.319,0.779,3.66,Yawning
07:52:27,0.337,0.938,4.5,Yawning
07:52:27,0.334,0.957,3.97,Yawning
07:52:28,0.326,0.928,4.22,Yawning
07:52:28,0.314,0.925,4.46,Yawning
07:52:28,0.319,0.864,4.72,Yawning
07:52:28,0.336,0.878,3.9,Yawning
07:52:28,0.328,0.891,3.94,Yawning
07:52:28,0.327,0.898,3.66,Yawning
07:52:28,0.319,0.912,3.9,Yawning
07:52:28,0.328,0.899,3.92,Yawning
07:52:28,0.326,0.885,3.9,Yawning
07:52:28,0.31,0.99,3.64,Yawning
07:52:28,0.329,0.895,3.59,Yawning
07:52:28,0.326,0.933,3.85,Yawning
07:52:28,0.322,0.935,4.34,Yawning
07:52:28,0.335,0.878,3.83,Yawning
07:52:28,0.332,0.903,3.58,Yawning
07:52:28,0.311,0.887,3.61,Yawning
07:52:28,0.304,0.916,3.58,Yawning
07:52:28,0.314,0.867,3.81,Yawning
07:52:28,0.314,0.895,3.81,Yawning
07:52:28,0.283,0.894,4.09,Yawning
07:52:28,0.213,0.881,3.05,Eyes Closed
07:52:28,0.198,0.888,3.83,Eyes Closed
07:52:28,0.194,0.805,3.28,Eyes Closed
07:52:28,0.221,0.825,3.78,Eyes Closed
07:52:28,0.262,0.828,3.29,Yawning
07:52:28,0.254,0.877,3.04,Yawning
07:52:28,0.269,0.857,3.25,Yawning
07:52:28,0.289,0.854,2.51,Yawning
07:52:28,0.299,0.877,3.28,Yawning
07:52:29,0.288,0.884,2.51,Yawning
07:52:29,0.278,0.862,3.5,Yawning
07:52:29,0.285,0.903,3.0,Yawning
07:52:29,0.281,0.902,3.25,Yawning
07:52:29,0.304,0.966,3.75,Yawning
07:52:29,0.283,0.916,2.76,Yawning
07:52:29,0.302,0.922,3.28,Yawning
07:52:29,0.306,0.962,3.51,Yawning
07:52:29,0.291,0.95,3.03,Yawning
07:52:29,0.308,0.936,3.28,Yawning
07:52:29,0.273,0.974,4.01,Yawning
07:52:29,0.284,1.006,4.01,Yawning
07:52:29,0.323,1.002,5.08,Yawning
07:52:29,0.299,0.974,4.55,Yawning
07:52:29,0.29,0.98,4.59,Yawning
07:52:29,0.302,0.98,5.33,Yawning
07:52:29,0.295,0.972,5.1,Yawning
07:52:29,0.29,0.97,4.87,Yawning
07:52:29,0.292,0.985,5.4,Yawning
07:52:29,0.296,0.966,5.17,Yawning
07:52:29,0.289,0.962,4.94,Yawning
07:52:29,0.287,0.981,5.48,Yawning
07:52:29,0.29,0.973,5.48,Yawning
07:52:29,0.283,0.957,5.19,Yawning
07:52:29,0.284,0.965,5.45,Yawning
07:52:29,0.292,0.998,5.45,Yawning
07:52:29,0.299,0.95,4.96,Yawning
07:52:29,0.284,0.981,5.4,Yawning
07:52:29,0.287,0.962,5.68,Yawning
07:52:29,0.276,0.942,4.96,Yawning
07:52:29,0.295,0.985,5.63,Yawning
07:52:30,0.305,1.002,6.2,Yawning
07:52:30,0.293,0.98,5.89,Yawning
07:52:30,0.295,0.963,6.65,Yawning
07:52:30,0.307,0.944,5.89,Yawning
07:52:30,0.295,0.98,5.86,Yawning
07:52:30,0.303,0.965,5.58,Yawning
07:52:30,0.326,0.957,5.56,Yawning
07:52:30,0.287,0.984,5.54,Yawning
07:52:30,0.217,0.941,4.99,Eyes Closed
07:52:30,0.165,0.946,4.97,Eyes Closed
07:52:30,0.175,0.959,5.42,Eyes Closed
07:52:30,0.208,0.949,4.66,Eyes Closed
07:52:30,0.239,0.949,4.66,Eyes Closed
07:52:30,0.264,0.961,4.84,Yawning
07:52:30,0.27,0.951,5.06,Yawning
07:52:30,0.269,0.932,5.54,Yawning
07:52:30,0.294,0.947,5.73,Yawning
07:52:30,0.268,0.935,6.0,Yawning
07:52:30,0.261,0.916,5.76,Yawning
07:52:30,0.275,0.932,6.16,Yawning
07:52:30,0.27,0.921,6.21,Yawning
07:52:30,0.29,0.927,6.21,Yawning
07:52:30,0.275,0.915,6.45,Yawning
07:52:30,0.272,0.904,6.42,Yawning
07:52:30,0.267,0.904,6.42,Yawning
07:52:30,0.253,0.919,6.39,Yawning
07:52:30,0.258,0.927,6.86,Yawning
07:52:30,0.259,0.941,6.42,Yawning
07:52:30,0.279,0.916,6.65,Yawning
07:52:30,0.269,0.935,6.6,Yawning
07:52:31,0.252,0.919,6.42,Yawning
07:52:31,0.269,0.912,6.65,Yawning
07:52:31,0.267,0.921,6.39,Yawning
07:52:31,0.266,0.939,6.65,Yawning
07:52:31,0.263,0.86,6.89,Yawning
07:52:31,0.258,0.889,6.86,Yawning
07:52:31,0.264,0.911,6.6,Yawning
07:52:31,0.253,0.915,6.63,Yawning
07:52:31,0.253,0.932,6.65,Yawning
07:52:31,0.254,0.914,6.65,Yawning
07:52:31,0.239,0.958,6.89,Eyes Closed
07:52:31,0.228,0.888,6.83,Eyes Closed
07:52:31,0.154,0.945,6.86,Eyes Closed
07:52:31,0.131,0.907,6.39,Eyes Closed
07:52:31,0.113,0.89,6.63,Eyes Closed
07:52:31,0.122,0.899,6.65,Eyes Closed
