Timestamp,EAR,MAR,Status
07:40:48,0.267,0.834,Drowsy / Yawning
07:40:48,0.28,0.81,Drowsy / Yawning
07:40:48,0.284,0.786,Drowsy / Yawning
07:40:48,0.279,0.827,Drowsy / Yawning
07:40:48,0.305,0.779,Drowsy / Yawning
07:40:48,0.274,0.809,Drowsy / Yawning
07:40:48,0.271,0.81,Drowsy / Yawning
07:40:48,0.299,0.837,Drowsy / Yawning
07:40:48,0.288,0.819,Drowsy / Yawning
07:40:48,0.28,0.827,Drowsy / Yawning
07:40:48,0.28,0.828,Drowsy / Yawning
07:40:48,0.283,0.779,Drowsy / Yawning
07:40:49,0.274,0.803,Drowsy / Yawning
07:40:49,0.299,0.8,Drowsy / Yawning
07:40:49,0.292,0.816,Drowsy / Yawning
07:40:49,0.274,0.843,Drowsy / Yawning
07:40:49,0.292,0.817,Drowsy / Yawning
07:40:49,0.308,0.819,Drowsy / Yawning
07:40:49,0.283,0.824,Drowsy / Yawning
07:40:49,0.273,0.799,Drowsy / Yawning
07:40:49,0.287,0.753,Drowsy / Yawning
07:40:49,0.271,0.805,Drowsy / Yawning
07:40:49,0.3,0.822,Drowsy / Yawning
07:40:49,0.278,0.807,Drowsy / Yawning
07:40:49,0.274,0.811,Drowsy / Yawning
07:40:49,0.274,0.879,Drowsy / Yawning
07:40:49,0.287,0.84,Drowsy / Yawning
07:40:49,0.276,0.803,Drowsy / Yawning
07:40:49,0.284,0.817,Drowsy / Yawning
07:40:49,0.292,0.819,Drowsy / Yawning
07:40:49,0.307,0.806,Drowsy / Yawning
07:40:49,0.311,0.825,Drowsy / Yawning
07:40:49,0.296,0.792,Drowsy / Yawning
07:40:49,0.233,0.823,Drowsy / Yawning
07:40:49,0.15,0.767,Drowsy / Yawning
07:40:49,0.161,0.819,Drowsy / Yawning
07:40:49,0.22,0.779,Drowsy / Yawning
07:40:49,0.258,0.806,Drowsy / Yawning
07:40:49,0.26,0.853,Drowsy / Yawning
07:40:49,0.292,0.825,Drowsy / Yawning
07:40:49,0.281,0.842,Drowsy / Yawning
07:40:49,0.291,0.8,Drowsy / Yawning
07:40:50,0.275,0.81,Drowsy / Yawning
07:40:50,0.257,0.817,Drowsy / Yawning
07:40:50,0.3,0.81,Drowsy / Yawning
07:40:50,0.28,0.842,Drowsy / Yawning
07:40:50,0.29,0.792,Drowsy / Yawning
07:40:50,0.284,0.766,Drowsy / Yawning
07:40:50,0.293,0.782,Drowsy / Yawning
07:40:50,0.298,0.718,Normal
07:40:50,0.293,0.738,Normal
07:40:50,0.317,0.74,Normal
07:40:50,0.312,0.775,Drowsy / Yawning
07:40:50,0.33,0.715,Normal
07:40:50,0.321,0.695,Normal
07:40:50,0.32,0.747,Normal
07:40:50,0.345,0.74,Normal
07:40:50,0.334,0.7,Normal
07:40:50,0.364,0.697,Normal
07:40:50,0.359,0.63,Normal
07:40:50,0.343,0.67,Normal
07:40:50,0.35,0.705,Normal
07:40:50,0.354,0.702,Normal
07:40:50,0.357,0.718,Normal
07:40:50,0.366,0.727,Normal
07:40:50,0.351,0.721,Normal
07:40:50,0.355,0.73,Normal
07:40:50,0.329,0.747,Normal
07:40:50,0.355,0.751,Drowsy / Yawning
07:40:50,0.348,0.756,Drowsy / Yawning
07:40:50,0.336,0.813,Drowsy / Yawning
07:40:50,0.324,0.818,Drowsy / Yawning
07:40:51,0.303,0.829,Drowsy / Yawning
07:40:51,0.314,0.835,Drowsy / Yawning
07:40:51,0.322,0.896,Drowsy / Yawning
07:40:51,0.31,0.878,Drowsy / Yawning
07:40:51,0.314,0.975,Drowsy / Yawning
07:40:51,0.286,0.864,Drowsy / Yawning
07:40:51,0.29,0.904,Drowsy / Yawning
07:40:51,0.29,0.907,Drowsy / Yawning
07:40:51,0.287,0.954,Drowsy / Yawning
07:40:51,0.297,0.913,Drowsy / Yawning
07:40:51,0.313,0.904,Drowsy / Yawning
07:40:51,0.307,0.94,Drowsy / Yawning
07:40:51,0.307,0.987,Drowsy / Yawning
07:40:51,0.309,1.009,Drowsy / Yawning
07:40:51,0.302,1.001,Drowsy / Yawning
07:40:51,0.316,1.022,Drowsy / Yawning
07:40:51,0.317,1.084,Drowsy / Yawning
07:40:51,0.289,1.075,Drowsy / Yawning
07:40:51,0.311,1.057,Drowsy / Yawning
07:40:51,0.309,1.081,Drowsy / Yawning
07:40:51,0.305,1.044,Drowsy / Yawning
07:40:51,0.305,1.076,Drowsy / Yawning
07:40:51,0.295,1.055,Drowsy / Yawning
07:40:51,0.317,1.13,Drowsy / Yawning
07:40:51,0.332,1.098,Drowsy / Yawning
07:40:51,0.317,1.104,Drowsy / Yawning
07:40:51,0.317,1.104,Drowsy / Yawning
07:40:51,0.324,1.101,Drowsy / Yawning
07:40:51,0.327,1.13,Drowsy / Yawning
07:40:52,0.315,1.106,Drowsy / Yawning
07:40:52,0.307,1.098,Drowsy / Yawning
07:40:52,0.313,1.097,Drowsy / Yawning
07:40:52,0.319,1.077,Drowsy / Yawning
07:40:52,0.322,1.107,Drowsy / Yawning
07:40:52,0.326,1.053,Drowsy / Yawning
07:40:52,0.33,1.111,Drowsy / Yawning
07:40:52,0.327,1.107,Drowsy / Yawning
07:40:52,0.293,1.129,Drowsy / Yawning
07:40:52,0.282,1.114,Drowsy / Yawning
07:40:52,0.277,1.082,Drowsy / Yawning
07:40:52,0.268,1.125,Drowsy / Yawning
07:40:52,0.286,1.108,Drowsy / Yawning
